Year,Training Phase,Week,Squad Status,Player,total distance,distance per min,high speed running (absolute),hml distance,max speed,% of Max Speed,sprints,sprint distance,distance zone 6 (relative),distance zone 6 (absolute),accelerations (absolute),decelerations (absolute),average heart rate,max heart rate,Time above 85% Heart Rate,time in heart rate zone 5 (relative),time in heart rate zone 6 (relative),hmld per minute
2026,Block 1,1,Active,Player 1,16071.0,200.9,1168.0,1936.0,30.26,85.9,8,351.0,146.2,98.0,65,58,151,197,41,6.5,5.3,27.3
2026,Block 1,2,Rehab,Player 1,17573.0,219.7,641.0,2392.0,31.3,90.3,13,308.0,93.2,183.3,77,47,154,180,27,5.4,4.6,24.9
2026,Block 1,3,Active,Player 1,16004.0,200.1,833.0,3633.0,26.98,97.8,10,257.0,115.8,167.1,49,61,156,193,23,6.7,4.9,21.2
2026,Block 1,4,Rehab,Player 1,14987.0,187.3,610.0,2403.0,29.16,96.6,20,275.0,56.7,112.9,61,74,141,199,37,12.2,2.4,16.1
2026,Block 2,1,Active,Player 1,15808.0,197.6,546.0,2460.0,29.15,85.7,17,244.0,126.7,177.4,77,76,151,188,28,11.6,5.9,27.2
2026,Block 2,2,Active,Player 1,14642.0,183.0,573.0,3583.0,27.68,90.4,6,267.0,118.9,199.8,58,43,146,180,16,14.9,3.0,22.9
2026,Block 2,3,Active,Player 1,18095.0,226.2,892.0,2628.0,26.86,94.3,20,389.0,174.7,71.3,45,76,150,194,39,12.7,3.7,17.2
2026,Block 2,4,Active,Player 1,18954.0,236.9,1003.0,1840.0,32.56,85.1,5,372.0,60.4,190.5,41,69,147,181,40,12.3,3.7,44.3
2026,Block 3,1,Active,Player 1,14475.0,180.9,1139.0,3974.0,27.97,96.8,14,106.0,120.7,187.0,70,50,144,200,30,7.2,7.7,42.8
2026,Block 3,2,Active,Player 1,15556.0,194.4,587.0,3511.0,29.83,92.8,6,178.0,60.7,93.3,41,66,142,198,25,7.0,6.5,29.2
2026,Block 3,3,Active,Player 1,14881.0,186.0,1400.0,2878.0,31.51,91.7,17,274.0,109.1,188.5,43,40,159,185,24,7.3,6.7,31.1
2026,Block 3,4,Rehab,Player 1,19020.0,237.8,1015.0,1650.0,26.99,85.3,14,254.0,125.3,95.6,41,74,142,191,15,10.6,2.5,21.6
2026,Block 1,1,Active,Player 2,14303.0,178.8,626.0,3530.0,29.49,88.0,5,155.0,61.9,130.8,38,38,144,181,23,11.6,6.9,22.1
2026,Block 1,2,Rehab,Player 2,21369.0,267.1,1142.0,2385.0,29.02,96.4,18,177.0,70.3,180.3,32,38,150,182,31,6.8,7.6,39.3
2026,Block 1,3,Rehab,Player 2,15450.0,193.1,830.0,3839.0,30.23,93.4,16,323.0,91.8,107.1,72,76,141,193,24,11.8,6.5,17.8
2026,Block 1,4,Active,Player 2,21695.0,271.2,515.0,1688.0,27.41,94.2,11,304.0,100.8,55.5,60,53,147,189,33,15.0,3.8,17.5
